"","logFC","logCPM","LR","PValue","FDR"
"CD19",2.7814769504151,4.60194640513735,392.423806060949,2.45592943654923e-87,4.48329918642063e-83
"COL1A2",2.74441610516567,3.1225831798486,287.228427374165,1.99740782161298e-64,1.82313398917725e-60
"COL1A1",2.39460525885564,2.90117452548164,206.326636289326,8.6960621324354e-47,5.29155380758694e-43
"FN1",2.16484511257262,3.4731041714369,195.895705426914,1.64257910290944e-44,7.49632038090295e-41
"CECR1",1.67402450858106,5.27862397174373,177.654043806233,1.57636190488061e-40,5.75529731471912e-37
"TNC",2.14377944526473,2.95146179715615,176.06993797565,3.49593772286426e-40,1.06363905218145e-36
"LTB",1.51358702187131,7.78869985383559,174.153013473542,9.1657763690117e-40,2.39030353737584e-36
"BGN",2.50250189949748,1.87706052471341,169.348118401761,1.02694100427475e-38,2.34335100412945e-35
"CCL4",-1.48291689462105,6.23661769300733,163.577195441528,1.87122681266909e-37,3.7954717183638e-34
"GSN",1.9392289405055,2.95962110444119,161.123587160316,6.42929390817967e-37,1.1736676029382e-33
"RP3.486I3.4",2.28611482655082,1.82760926971107,146.474657334991,1.02229233798709e-33,1.69654060272311e-30
"MMP2",2.63078486960254,1.12851414797028,145.431530969509,1.72829750313694e-33,2.62917257664707e-30
"FBLN2",1.91890123469693,2.75450797766577,143.153368063379,5.44123945928204e-33,7.64075587147644e-30
"EVI5",-1.67445198474441,3.56880283402222,138.614473790664,5.34818861118311e-32,6.97365593551055e-29
"SMPD3",1.47404839661392,4.43934180019656,135.973756283425,2.02185141035547e-31,2.4605931664026e-28
"NR4A3",-1.36501019171192,6.48595792939873,134.131603686117,5.11313493188094e-31,5.57010655817042e-28
"MMP25",1.49353655669215,4.9514715511863,134.103061821998,5.18717126753751e-31,5.57010655817042e-28
"CRYAB",2.03532796240842,2.0448156687384,133.285369634459,7.83067380224498e-31,7.94160834777678e-28
"CCL3",-1.26384755070292,7.21931098947247,132.588299832737,1.11246930560483e-30,1.06884879862191e-27
"ALOX5",1.51154843643567,3.81631210678133,129.867900982456,4.37976385759795e-30,3.99762946102253e-27
"RPL3P2",2.06982734865767,1.79051477196718,128.64054484049,8.12828518585732e-30,7.06580219370597e-27
"EEF1A1P17",2.05576488044431,2.30313966033478,128.420300156183,9.08219822557887e-30,7.5361603912701e-27
"TIMP1",1.41644389800022,4.76997528720021,126.794409986185,2.06050451241566e-29,1.63541347278904e-26
"FCGBP",1.65109910229087,3.45195083495796,123.315368076559,1.18956010878903e-28,9.04809157747659e-26
"DLK1",2.71077000639335,0.758185082023101,122.234121927687,2.05143815107115e-28,1.49796013791215e-25
"CYR61",2.45689851731331,1.00366219708071,121.267067490722,3.34002091270768e-28,2.34508006774918e-25
"KLF2",1.8071869008905,2.74435042997913,120.849791737589,4.12188684451574e-28,2.78685349431981e-25
"RPS26P2",2.43035922556085,0.985467685210649,119.987227003296,6.36693241151693e-28,4.15101254186577e-25
"LRP1",2.11134351170872,2.5234820729072,119.756989666358,7.15049372854065e-28,4.50111251774171e-25
"PFKFB4",-1.66471411471195,2.62996838087717,117.292964052442,2.47647355000321e-27,1.50693415517695e-24
"EEF1A1P38",2.20486986007447,1.24194644141653,115.165751399836,7.2387026644988e-27,4.26266184323954e-24
"TIAM2",-1.61674385212588,3.09992319603933,114.571594519616,9.76752887229203e-27,5.57206998636534e-24
"CCL1",-1.64924889289248,2.94640555967798,114.229420430278,1.16071465273518e-26,6.42086241990323e-24
"KB.1683C8.1",2.65366840976466,0.549474385143105,111.839094565946,3.87518479678397e-26,2.08063230780269e-23
"CTC.398G3.2",2.27956308955242,0.91891924802938,108.977990247965,1.64097941488777e-25,8.55887977679323e-23
"GAS2L1",1.44615855357071,4.27054095605853,108.910797913923,1.69756079832106e-25,8.60804788148637e-23
"COL3A1",2.37228976664021,0.809132514736798,108.431134823151,2.16234229708432e-25,1.06685293603444e-22
"ACTBP2",1.82852676639539,1.86424994761089,106.394314307892,6.04308714044212e-25,2.9030672565466e-22
"ANGPTL2",1.99356608765678,1.58399397242014,103.64125308897,2.42475456888619e-24,1.13497165782096e-21
"SIGLEC17P",1.70243641316476,2.34002059467223,103.495495786796,2.60986804568887e-24,1.19107852935126e-21
"SLC2A4RG",1.30464780894258,4.75031146979568,102.583762956523,4.13508675895886e-24,1.84112216548278e-21
"EEF1A1P29",2.23477709505059,0.938938366955277,102.441919868134,4.44201810946795e-24,1.93069144257946e-21
"RPL19P12",1.89827893209561,1.50217268629467,101.809586735252,6.11236260333799e-24,2.59491114706825e-21
"AQP3",1.47583337880541,3.19006272614723,101.598899819429,6.79830409503856e-24,2.82052366488475e-21
"RP11.373L24.1",-1.18295911894707,5.07264267158377,100.717888054206,1.06063362581093e-23,4.302637075373e-21
"ZNF704",-1.36074324383299,4.00096527359846,100.26948639577,1.33010245920177e-23,5.27848269407136e-21
"SREBF1",1.25036872188258,6.26469248264769,99.992299107406,1.52990766958648e-23,5.9422264911279e-21
"ANXA2P1",2.24313902863059,0.800908316190273,99.8476451535408,1.64582931551992e-23,6.2592946155867e-21
"RPL10L",2.28222390570549,0.818295030129856,99.7454157186727,1.73301301690028e-23,6.45635767826829e-21
"LINC00176",1.57141797961519,3.06250519950248,98.9357959932299,2.60822048552588e-23,9.52261299265498e-21
"EEF1A1P10",1.96843884977596,1.37806672069398,98.641451478932,3.02618112947535e-23,1.0831948336975e-20
