"","logFC","logCPM","LR","PValue","FDR"
"CD19",4.91310382682138,6.58155570761598,774.784680028234,1.63845761419227e-170,3.14338093282786e-166
"COL1A2",5.14780520416011,5.3558025832386,761.141521572855,1.51655180452989e-167,1.4547523184953e-163
"TNC",4.46261880093537,5.03061961327625,640.728383435851,2.32020964764423e-141,1.48377406966849e-137
"EEF1A1P17",4.56594654969049,4.54619405368917,613.399587583348,2.03861458687933e-135,9.77770521232001e-132
"FN1",4.42804674536791,5.50414409805303,608.196676149608,2.76042976078029e-134,1.0591768992114e-130
"BGN",4.85651033644214,4.02557105335232,561.787162278341,3.43441060851368e-124,1.09815279207225e-120
"EEF1A1P10",4.63137823702915,3.74149987898861,535.343945851128,1.94247448114146e-118,5.32376756009985e-115
"CYR61",5.06250782546593,3.37365494848456,524.279367523641,4.96039294522778e-116,1.18956423317744e-112
"COL1A1",4.67624142674297,4.97675322355304,508.833700880496,1.13754483262693e-112,2.42486640154973e-109
"EEF1A1P38",4.6060001489427,3.38905341694355,497.923818620715,2.68972152709019e-110,5.16023074972253e-107
"COL3A1",4.86921034738533,3.06019651368572,484.62985347697,2.10042826767964e-107,3.66333784685763e-104
"EEF1A1P29",4.73435435245505,3.17805052030933,478.670977838144,4.15850042465336e-106,6.64840255391457e-103
"MMP2",4.89053390762522,3.19011598685627,474.28094420957,3.75156814419932e-105,5.53644883434338e-102
"RPL3P2",4.29416298204414,3.76005702434182,470.888205487134,2.05347346417339e-104,2.81399202929761e-101
"GSN",3.81033231478136,4.58887708559086,457.098986710897,2.05686674659157e-101,2.63073256889062e-98
"EEF1A1P16",4.13732901701556,3.75405809136858,455.90997017313,3.73216598860538e-101,4.47510028071214e-98
"CRYAB",4.11686348521038,3.87734645528593,445.044281350717,8.6423177288643e-99,9.75310974283892e-96
"RPS26P2",4.82701127606117,3.15226489584415,444.314253159224,1.24597331352701e-98,1.32799989000087e-95
"CTGF",5.87859764311143,2.32128903180965,440.801675744683,7.24387648626584e-98,7.31440896784264e-95
"RP3.486I3.4",4.41718683725703,3.73763508064456,436.361232964948,6.70485761792705e-97,6.43163466999652e-94
"RPL3P3",4.81195430200592,2.81488540388424,420.738640415231,1.68528275760605e-93,1.53962617641296e-90
"ANXA2P1",4.72354037122755,3.01968214978353,418.941643161384,4.14773337376974e-93,3.61701203526238e-90
"ANGPTL2",4.12904783381954,3.45566244950339,415.578933703383,2.23746178429981e-92,1.800643152682e-89
"DLK1",4.89106803872435,2.74336795992848,415.56551199991,2.2525637562871e-92,1.800643152682e-89
"AXL",4.63931663039836,2.67217464114696,414.823298690171,3.26763090844003e-92,2.50757995913688e-89
"LOX",4.96686821966204,2.35818429287264,413.407676064621,6.64309254275449e-92,4.9018357858748e-89
"THBS1",4.52796391213759,3.12041076695355,411.597468809067,1.64588758319719e-91,1.16949456606067e-88
"RPL3P9",4.78636353624945,2.49340967738178,409.738397224237,4.1789841082434e-91,2.86335036130891e-88
